,Muncipality,Acreage,City,Address,ImprovementAssessedValue2019,ImprovementFairMarketValue2019,LandAssessedValue2019,LandFairMarketValue2019,TotalAssessedValue2019,TotalFairMarketValue2019,ImprovementAssessedValue2018,ImprovementFairMarketValue2018,LandAssessedValue2018,LandFairMarketValue2018,TotalAssessedValue2018,TotalFairMarketValue2018
23933,City of La Crosse        ,1.8,LA CROSSE, 601 ST ANDREW ST   ,34700,37700,258000,280100,292700,317800,34700,41500,258000,308600,292700,350100
12031,Town of Holland          ,0.81,HOLMEN, W7771 COUNTRY AVE  ,252100,323900,25800,33200,277900,357100,252100,304300,25800,31100,277900,335400
37143,City of La Crosse        ,0.138,LA CROSSE, 2617 LOSEY BLVD S,96700,105000,18200,19800,114900,124800,81100,97000,15400,18400,96500,115400
15152,Town of Onalaska         ,0.5,ONALASKA, N5893 COTTAGE LN   ,125300,161200,15000,19300,140300,180500,125300,151900,15000,18200,140300,170100
58224,City of Onalaska         ,0.1,ONALASKA, 3711 EMERALD DR   E,206300,208500,18600,18800,224900,227300,153200,166800,24500,26700,177700,193500
33281,City of La Crosse        ,0.129,LA CROSSE, 2011 WINNEBAGO ST   ,96200,104500,29100,31600,125300,136100,82200,98300,21800,26100,104000,124400
48104,City of Onalaska         ,0.26,ONALASKA, 1416 JOHNSON ST   ,237500,240000,44800,45300,282300,285300,208900,227500,41300,45000,250200,272500
44425,City of Onalaska         ,0.77,ONALASKA, 2126 KYLE LN   ,166400,168200,100600,101700,267000,269900,212900,231900,39500,43000,252400,274900
20046,Village of Bangor        ,0.2,BANGOR, 1905 HENRY JOHNS BLVD ,130900,138200,22200,23400,153100,161600,130900,132400,22200,22400,153100,154800
34920,City of La Crosse        ,0.255,LA CROSSE, 1712 31ST ST   S,136500,148200,32400,35200,168900,183400,116400,139200,24000,28700,140400,167900
64806,Town of Bangor           ,25.84,WEST SALEM,  COUNTY ROAD B      ,0,0,7400,0,7400,0,0,0,7400,0,7400,0
25943,City of La Crosse        ,0.081,LA CROSSE, 812 NORTH ST   ,64900,70500,15600,16900,80500,87400,54500,65200,11400,13600,65900,78800
66250,Town of Holland          ,0.995,HOLMEN,  VOLENDAM ST   ,0,0,32200,41400,32200,41400,0,0,32200,38900,32200,38900
17908,Town of Shelby           ,0.32,LA CROSSE, W4985 HARVEST LN   ,140600,157200,25800,28800,166400,186000,140600,151500,25800,27800,166400,179300
47519,City of Onalaska         ,1.05,ONALASKA, 4046 BEVERLY DR   ,456000,460800,64700,65400,520700,526200,412300,449000,53700,58500,466000,507500
56961,Town of Hamilton         ,39.33,WEST SALEM, W3835 PLEASANT VALLEY RD   ,38400,0,42200,0,80600,0,38400,0,42400,0,80800,0
4425,Town of Campbell         ,0.27,LA CROSSE, 731 LANCASTER ST   ,117700,126900,34400,37100,152100,164000,117700,126500,34400,37000,152100,163500
58816,Town of Greenfield       ,35.63,LA CROSSE,  STATE ROAD 33      ,0,0,3300,0,3300,0,0,0,3500,0,3500,0
